Customed_ID,Credit Score,Country,Gender,Age Group,Tenure,Act Balance,Products,Credit Card,Activity Status,Churn Status,Min Churn,Max Churn,Target Churn
15781234,601-700,France,Female,31-40,2,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15589589,601-700,France,Male,31-40,5,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15626457,601-700,France,Male,31-40,0,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15705383,601-700,France,Male,31-40,4,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15682273,601-700,France,Female,31-40,5,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15679966,601-700,France,Female,31-40,3,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15701972,601-700,France,Male,31-40,3,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15713637,601-700,France,Male,31-40,2,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15749679,601-700,France,Male,31-40,2,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15781987,601-700,France,Male,31-40,9,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15691874,601-700,France,Female,31-40,9,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15691823,601-700,France,Male,31-40,5,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15596136,601-700,France,Female,31-40,9,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15588456,601-700,France,Female,31-40,5,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15700366,601-700,France,Male,31-40,3,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15572956,601-700,France,Male,31-40,5,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15791114,601-700,France,Male,31-40,1,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15569264,601-700,France,Male,31-40,5,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15688644,601-700,France,Male,31-40,1,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15605672,601-700,France,Female,31-40,5,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15757537,601-700,France,Female,31-40,6,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15596811,601-700,France,Male,31-40,8,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15656062,601-700,France,Female,31-40,7,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15707479,601-700,France,Male,31-40,7,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15719624,601-700,France,Female,31-40,9,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15574584,601-700,France,Male,31-40,8,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15624667,601-700,France,Male,31-40,6,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15730345,601-700,France,Female,31-40,2,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15763460,601-700,France,Male,31-40,10,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15790322,601-700,France,Female,31-40,0,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15782758,601-700,France,Male,31-40,5,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15617657,601-700,France,Female,31-40,0,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15663168,601-700,France,Male,31-40,8,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15577913,601-700,France,Female,31-40,8,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15723604,601-700,France,Male,31-40,6,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15619674,601-700,France,Female,31-40,4,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15654074,601-700,France,Male,31-40,8,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15690731,601-700,France,Male,31-40,6,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15796496,601-700,France,Female,31-40,8,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15668057,601-700,France,Female,31-40,6,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15689602,601-700,France,Male,31-40,2,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15729117,601-700,France,Female,31-40,1,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15633274,601-700,France,Male,31-40,7,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15624936,601-700,France,Male,31-40,8,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15689412,601-700,France,Female,31-40,7,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15736043,601-700,France,Male,31-40,6,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15737414,601-700,France,Male,31-40,4,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15769548,601-700,France,Female,31-40,7,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15592999,601-700,France,Female,31-40,0,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15737275,601-700,France,Male,31-40,3,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15641733,601-700,France,Female,31-40,5,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15629750,601-700,France,Male,31-40,5,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15775750,601-700,France,Male,31-40,9,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15775949,601-700,France,Female,31-40,7,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15621546,601-700,France,Female,31-40,9,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15636478,601-700,France,Male,31-40,7,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15807107,601-700,France,Male,31-40,3,100k - 200k,Prod1,Owned,Inactive,Not Churned,0,1,0.15
15691150,601-700,France,Female,31-40,4,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
15621244,601-700,France,Male,31-40,0,100k - 200k,Prod1,Owned,Active,Not Churned,0,1,0.15
